127.0.0.1 - - [05/Apr/2024:05:34:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/login.jsp HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/vendor/jquery/jquery.min.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/alert/dist/sweetalert.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:16 +0530] "GET /registration/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:34:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:39:19 +0530] "GET /registration/registration.jsp HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:39:19 +0530] "GET /registration/vendor/jquery/jquery.min.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:39:19 +0530] "GET /registration/alert/dist/sweetalert.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Apr/2024:05:39:19 +0530] "GET /registration/images/signup-image.jpg HTTP/1.1" 304 -
192.168.43.53 - - [05/Apr/2024:06:02:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:41:43 +0530] "GET /registration/vendor/jquery/jquery.min.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:41:43 +0530] "GET /registration/alert/dist/sweetalert.css HTTP/1.1" 404 1070
